turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,sellQty,buyQty,buyVolUsd,sellVolUsd,volUsd
217.0,206.0,11.0,0,0,3172078.25056307,22065.65071,3194143.90127307
96.0,49.0,47.0,0,0,858080.70610999,71088.0047948,929168.71090479
93.0,62.0,31.0,0,0,343673.90097,681846.09145462,1025519.99242462
14.0,12.0,2.0,0,0,31551.09032,3626.13788,35177.2282
25.0,21.0,4.0,0,0,110306.50217,5382.39287,115688.89504
149.0,141.0,8.0,0,0,1624446.742385,79559.86667,1704006.609055
112.0,98.0,14.0,0,0,1016252.28178,43092.43069,1059344.71247
96.0,75.0,21.0,0,0,475011.07368453,352609.65488,827620.72856453
44.0,1.0,43.0,0,0,3150.28361,786405.89253,789556.17614
126.0,0.0,126.0,0,0,0.0,2609885.0548765,2609885.0548765
33.0,1.0,32.0,0,0,29.41424,233528.82402428,233558.23826428
34.0,4.0,30.0,0,0,33336.16796,243310.70298,276646.87094
116.0,6.0,110.0,0,0,103111.77265,1677990.60871061,1781102.38136061
1.0,1.0,0.0,0,0,1103.784,0.0,1103.784
17.0,17.0,0.0,0,0,29192.14708,0.0,29192.14708
20.0,18.0,2.0,0,0,273785.69156,18974.2655,292759.95706
15.0,9.0,6.0,0,0,6691.80168,12990.41212,19682.2138
165.0,6.0,159.0,0,0,13545.97961968,1971752.01622,1985297.99583968
110.0,1.0,109.0,0,0,5001.2398,3194599.23802454,3199600.47782454
199.0,7.0,192.0,0,0,15377.0707,2046077.87807314,2061454.94877314
285.0,23.0,262.0,0,0,100615.4326,3395243.36049892,3495858.79309892
16.0,9.0,7.0,0,0,4297.00962,6355.772734,10652.782354
18.0,15.0,3.0,0,0,390053.53615,7948.14328,398001.67943
